Несколько лет тому назад в одном из своих поместий жил старинный русский барин, Кирила Петрович Троекуров.;Muutamia vuosia sitten eli eräällä maatilallaan vanha, venäläinen bajari Kirila Petrovitsch Troekurov.
 Его богатство, знатный род и связи давали ему большой вес в губерниях, где находилось его имение.;Hänen rikkautensa, ylhäinen sukuperänsä ja sukulaisuussuhteensa saattoivat hänet suureen arvoon siinä kuvernementissa, jossa hänen tiluksensa oli.
 Соседи рады были угождать малейшим его прихотям, губернские чиновники трепетали при его имени, ;Naapurit olivat iloissaan, kun voivat täyttää hänen pienimmätkin mielitekonsa, kuvernementin virkamiehet vapisivat kuullessaan hänen nimensä.
Кирила Петрович принимал знаки подобострастия как надлежащую дань,;Kirila Petrovitsch piti kaikkia hänelle osoitettuja kohteliaisuuksia ikäänkuin itselleen kuuluvina veroina.
 дом его всегда был полон гостями, готовыми тешить его барскую праздность, разделяя шумные, а иногда и буйные его увеселения.;Hänen talonsa oli aina täynnä vieraita, jotka olivat valmiina huvittamaan häntä hänen komeissa juhlissaan ja ottamaan osaa hänen melskeisiin, joskus rajuihinkin huvituksiinsa.
 Никто не дерзал отказываться от его приглашения или в известные дни не являться с должным почтением в село Покровское.;Kukaan ei rohjennut olla noudattamatta hänen kutsumustaan eikä tulematta kunniatervehdyksille määrättyinä päivinä Pokrovskojen kylään.
 Избалованный всем, что только окружало его, он привык давать полную волю всем порывам пылкого своего нрава и всем затеям довольно ограниченного ума.;Koska hänellä oli kaikkea, mitä tarvitsi, niin tottui hän noudattamaan kaikkia tulisen luonteensa oikkuja ja päähänpistojaan.
 Несмотря на необыкновенную силу физических способностей, он раза два в неделю страдал от обжорства и каждый вечер бывал навеселе.;Kirila Petrovitsch oli hyvin vieraanvarainen ja katsomatta hänen erinomaisiin ruumiinvoimiinsa kärsi hän kuitenkin pari kertaa viikossa ylellisyytensä seurauksia, mutta oli sittenkin joka ilta ilolassaan.
 В одном из флигелей его дома жили шестнадцать горничных, занимаясь рукоделиями, свойственными их полу.;Sitäpaitsi asui eräässä sivurakennuksessa kuusitoista tyttöä, jotka kuluttivat aikaansa käsitöillä.
 Окна во флигеле были загорожены деревянною решеткою, двери запирались замками, от коих ключи хранились у Кирила Петровича.;Tämän sivurakennuksen ikkunat olivat varustetut pienellä ristikolla, ovet olivat aina lukossa ja avaimet olivat itse Kirila Petrovitschin hallussa.
 Молодые затворницы в положенные часы сходили в сад и прогуливались под надзором двух старух.;Määrättyinä tunteina pääsivät nuo nuoret tyttöset kävelemään puutarhaan, mutta olivat silloinkin kahden vanhan akan tarkastuksen alaiset.
 От времени до времени Кирила Петрович выдавал некоторых из них замуж, и новые поступали на их место.;Väliin Kirila Petrovitsch naitti jonkun niistä, mutta otti heti uusia sijaan. Harva hänen alustalaisensa tytär voi välttää joutumastaan tuon viidenkymmenen vuotiaan ukon himokkaisuuden uhriksi.
 С крестьянами и дворовыми обходился он строго и своенравно, несмотря на то, они были ему преданы: ;— Talonpoikain ja palvelijainsa kanssa menetteli hän tuimasti ja omavaltaisesti, vaikka nämät tottelivatkin häntä nöyrästi.
они тщеславились богатством и славою своего господина и в свою очередь позволяли себе многое в отношении к их соседам, надеясь на его сильное покровительство.;Nämät ylvästelivät herransa suuresta rikkaudesta ja maineesta ja menettelivät taas puolestaan itsevaltaisesti naapurejansa vastaan luottaen herransa mahtavaan suojelukseen.
Всегдашние занятия Троекурова состояли в разъездах около пространных его владений, в продолжительных пирах и в проказах, ежедневно притом изобретаемых и жертвою коих бывал обыкновенно какой-нибудь новый знакомец, хотя и старинные приятели не всегда их избегали за исключением одного Андрея Гавриловича Дубровского.;Tuon Pokrovskojen kylän omistajan yksinomaisena työnä oli ratsasteleminen avaroilla tiluksillaan, oleskeleminen kauvan kestävissä juomingeissa, kaikkien ilveitten toimeenpaneminen, joita sittemmin joka päivä toimitettiin ja joitten uhrina tavallisesti oli joku hänen uusi tuttavansa, vaikka eivät hänen vanhemmatkaan ystävänsä, paitsi Andrei Gavrilovitsch Dubrovskij, välttäneet sitä.
 Сей Дубровский, отставной поручик гвардии, был ему ближайшим соседом и владел семидесятью душами.;Tämä Dubrovskij oli vanha kaartin luutnantti sekä hänen lähin naapurinsa, jolla oli seitsemänkymmentä orjaa.
 Троекуров, надменный в сношениях с людьми самого высшего звания, уважал Дубровского, несмотря на его смиренное состояние.;Troekurov, joka ylpeili tuttavuuksistaan ylhäisimpien henkilöiden kanssa, kunnioitti kuitenkin Dubrovskija huolimatta tämän köyhyydestä.
 Некогда были они товарищами по службе, и Троекуров знал по опыту нетерпеливость и решительность его характера.;Joskus olivat he olleet virkatovereita, ja Troekurov tunsi kokemuksestaan hänen kärsimättömän ja päättäväisen luonteensa.
 Обстоятельства разлучили их надолго.;Asianhaarat olivat eroittaneet heidät.
 Дубровский с расстроенным состоянием принужден был выйти в отставку и поселиться в остальной своей деревне.;Troekurov oli noussut kunniansa kukkulalle, Dubrovskijn taas oli täytynyt väistyä uraltaan ja ottaa virkaero sekä jäädä asumaan etäiseen kylään.
 Кирила Петрович, узнав о том, предлагал ему свое покровительство, но Дубровский благодарил его и остался беден и независим.;Kuultuaan tämän oli Kirila Petrovitsch tarjonnut hänelle suojelustaan, mutta Dubrovskij oli kiittänyt vaan häntä sekä jäänyt köyhyyteensä kenestäkään riippumattomaksi.
 Спустя несколько лет Троекуров, отставной генерал-аншеф, приехал в свое поместие, они свиделись и обрадовались друг другу.;Muutamia vuosia sen jälkeen oli Troekurov, joka nyt oli kenraali, saapunut maatilalleen, he kohtasivat toinen toisensa ja iloitsivat siitä.
 С тех пор они каждый день бывали вместе, и Кирила Петрович, отроду не удостоивавший никого своим посещением, заезжал запросто в домишко своего старого товарища.;Siitä ajasta olivat he joka päivä yhdessä, ja Kirila Petrovitsch, joka ei koskaan ollut ketään kunnioittanut vierailullaan, oli usein poikennut vanhan toverinsa taloon.
 Будучи ровесниками, рожденные в одном сословии, воспитанные одинаково, они сходствовали отчасти и в характерах, и в наклонностях.;He olivat yhden-ikäiset, olivat syntyneet samalla paikkakunnalla, olivat saaneet samanlaisen kasvatuksen sekä olivat osaksi saman luontoiset ja samaan taipuvaiset.
 В некоторых отношениях и судьба их была одинакова: оба женились по любви, оба скоро овдовели, у обоих оставалось по ребенку.;Muutamissa suhteissa oli heidän kohtalonsakin samanlainen: kumpikin sai naida lemmittynsä, kumpikin tuli pian leskeksi, kummallekin jäi yksi lapsi.
 Сын Дубровского воспитывался в Петербурге, дочь Кирила Петровича росла в глазах родителя, и Троекуров часто говаривал Дубровскому: «Слушай, брат, Андрей Гаврилович: коли в твоем Володьке будет путь, так отдам за него Машу, даром что он гол как сокол».;"Dubrovskijn poika kasvatettiin Pietarissa, Kirila Petrovitschin tytär taas kasvoi isänsä holhottavana, ja Troekurov sanoi usein Dubrovskijlle: ""Kuulehan, veliseni Andrei Gavrilovitsch, kun sinun Volodkasi tulee mieheksi, niin annan hänelle Maschani vaimoksi — siitä huolimatta, että poikasi on köyhä kuin kirkkohiiri""."
